,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
70,Heartbroken (feat. Jessie Murph & Polo G),Diplo,edm,2023,2023‑09‑02,147,62,65,-6,10,65,207,18,8,80
71,Favorite Song,Toosii,north carolina hip hop,2023,2023‑09‑02,116,37,82,-9,10,41,209,31,6,79
72,Next Thing You Know,Jordan Davis,contemporary country,2022,2023‑09‑02,79,60,56,-8,10,41,175,65,5,79
73,What It Is (Block Boy) (with Kodak Black),Doechii,alternative r&b,2023,2023‑09‑02,172,74,73,-6,12,73,223,11,17,79
74,Lose Control,Teddy Swims,,2023,2023‑09‑02,160,60,56,-4,10,24,211,20,3,79
75,Karma (feat. Ice Spice),Taylor Swift,pop,2023,2023‑09‑02,90,62,62,-7,58,7,201,6,6,78
76,Watermelon Moonshine,Lainey Wilson,contemporary country,2022,2023‑09‑02,140,41,74,-7,13,65,209,47,3,78
77,Put It On Da Floor Again (feat. Cardi B),Latto,trap queen,2023,2023‑09‑02,111,61,85,-7,6,47,186,3,32,78
78,Your Heart Or Mine,Jon Pardi,contemporary country,2022,2023‑09‑02,86,71,64,-4,10,72,161,5,3,78
79,Pretty Little Poison,Warren Zeiders,modern country pop,2023,2023‑09‑02,112,56,52,-5,16,22,218,3,3,78
80,S91,KAROL G,reggaeton,2023,2023‑09‑02,128,72,86,-5,9,39,173,63,22,78
81,Aint Gotta Dollar,Oliver Anthony Music,,2022,2023‑09‑02,110,9,70,-16,8,34,125,83,4,78
82,Call Your Friends,Rod Wave,florida rap,2023,2023‑09‑02,83,66,58,-8,10,24,153,11,10,77
83,The Painter,Cody Johnson,classic texas country,2023,2023‑09‑02,98,71,51,-6,11,26,211,4,3,77
84,SHAKE SUMN,DaBaby,hip hop,2023,2023‑09‑02,143,77,78,-8,17,27,125,0,16,76
85,Good Good,USHER,atl hip hop,2023,2023‑09‑02,141,67,75,-5,12,58,247,4,10,75
86,EL AMOR DE SU VIDA,Grupo Frontera,musica chihuahuense,2023,2023‑09‑02,152,83,62,-3,34,75,166,6,7,75
87,Fight The Feeling,Rod Wave,florida rap,2023,2023‑09‑02,168,54,63,-9,10,15,161,5,6,75
88,Save Me,Jelly Roll,country rap,2020,2023‑09‑02,83,40,68,-10,25,36,241,65,3,74
89,Angels (Don’t Always Have Wings),Thomas Rhett,contemporary country,2023,2023‑09‑02,66,60,53,-4,9,23,200,6,3,74
90,F*ck U Thought,Lil Durk,chicago drill,2023,2023‑09‑02,160,56,64,-7,9,10,192,0,13,74
91,Mona Lisa,Dominic Fike,alternative pop rock,2023,2023‑09‑02,111,65,76,-8,16,45,186,23,12,74
92,Summer Too Hot,Chris Brown,pop rap,2023,2023‑09‑02,90,71,68,-7,37,25,189,16,6,74
93,Anti-Hero,Taylor Swift,pop,2022,2023‑09‑02,97,63,64,-7,15,52,201,13,5,73
94,Love You Anyway,Luke Combs,contemporary country,2023,2023‑09‑02,140,49,53,-7,24,32,230,15,3,72
95,"You, Me, And Whiskey",Justin Moore,arkansas country,2022,2023‑09‑02,144,88,56,-4,17,42,188,8,5,72
96,TRUCK BED,HARDY,contemporary country,2022,2023‑09‑02,132,77,66,-5,35,77,168,9,4,71
97,Everything I Love,Morgan Wallen,contemporary country,2023,2023‑09‑02,104,85,57,-4,15,70,187,0,3,69
98,Bury Me in Georgia,Kane Brown,black americana,2022,2023‑09‑02,160,84,38,-6,47,51,242,1,7,68
99,Standing Room Only,Tim McGraw,contemporary country,2023,2023‑09‑02,155,78,49,-6,14,44,226,15,4,56
100,Girl In Mine,Parmalee,contemporary country,2023,2023‑09‑02,202,68,46,-4,11,89,155,17,5,26
