song title,artist,top genre,year,added,bpm,energy,dance,dB,live,valence,dur,acous,spch,popularity,km cluster
Smells Like Teen Spirit,Witchz,alternative,2021,1969‑12‑31,114,50,66,-6,16,26,128,0,4,62,2
Never There,Currents,melodic metalcore,2020,1969‑12‑31,87,56,21,-9,19,4,109,19,3,62,2
I Am The Weapon,Three Days Grace,alternative metal,2022,1969‑12‑31,119,83,30,-3,17,74,176,0,9,61,2
All of This Is Fleeting,Polaris,australian metalcore,2020,1969‑12‑31,138,95,49,-3,14,59,236,0,9,61,2
Dad Vibes,Limp Bizkit,alternative metal,2021,1969‑12‑31,95,89,70,-5,31,84,132,7,11,61,2
deep fake,Architects,mathcore,2022,1969‑12‑31,96,86,50,-4,6,30,214,0,9,60,2
Hunted,Egypt Central,alternative metal,2020,1969‑12‑31,195,94,17,-3,33,39,173,0,16,59,2
Survivor,All Good Things,rebel blues,2022,1969‑12‑31,80,90,24,-4,29,73,194,1,9,59,2
Can You Feel My Heart - Remix,Bring Me The Horizon,melodic metalcore,2021,1969‑12‑31,140,88,58,-4,47,84,197,1,5,59,2
The Optimist,10 Years,alternative metal,2022,1969‑12‑31,198,91,40,-6,33,53,178,0,30,58,2
FWYTYK,I Prevail,alternative metal,2022,1969‑12‑31,75,87,27,-6,35,47,198,0,8,57,2
Detonate,G2,brighton indie,2023,1969‑12‑31,93,81,61,-5,12,60,168,1,8,57,2
NOT JUST BREATHING,The Plot In You,metalcore,2018,1969‑12‑31,130,83,46,-6,61,31,234,0,6,56,2
Remember Me,Currents,melodic metalcore,2023,1969‑12‑31,170,92,28,-4,14,37,244,0,12,56,2
Visceral,I Prevail,alternative metal,2022,1969‑12‑31,155,95,45,-5,13,47,164,0,9,54,2
Pick Up Behind You,Five Finger Death Punch,alternative metal,2022,1969‑12‑31,95,98,44,-4,54,45,189,0,9,53,2
FEEL NOTHING - RESET,The Plot In You,metalcore,2022,1969‑12‑31,144,89,34,-5,6,22,221,0,9,52,2
TIRED OF WINNING,NOTHING MORE,post-grunge,2022,1969‑12‑31,95,95,44,-5,81,39,207,0,10,52,2
Cut The Line (feat. Beartooth),Papa Roach,alternative metal,2023,1969‑12‑31,140,94,53,-3,22,63,198,0,7,51,2
Guiding Light,Caskets,metalcore,2023,1969‑12‑31,108,89,53,-6,12,30,263,0,4,50,2
HEAVYWEIGHT,Ryan Oakes,indie pop rap,2023,1969‑12‑31,163,92,54,-3,41,36,169,0,26,49,2
RISE,YMIR,alternative,2022,1969‑12‑31,150,73,42,-5,36,29,338,0,4,42,0
Giant Steps - 2020 Remaster,John Coltrane,bebop,2020,2023‑09‑01,147,42,42,-13,19,52,288,19,6,57,1
This I Dig Of You - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,bebop,1960,2023‑09‑01,123,67,59,-8,7,79,386,74,5,48,2
Move,Miles Davis,cool jazz,1957,2023‑09‑01,136,41,50,-12,12,84,154,75,7,48,1
Cherokee,Clifford Brown,bebop,1955,2023‑09‑01,87,66,43,-9,9,64,344,42,5,43,0
Boogie Stop Shuffle,Charles Mingus,avant-garde jazz,1959,2023‑09‑01,129,54,57,-12,30,68,299,39,6,43,0
Yes Or No - Rudy Van Gelder 24 Bit Mastering/1999 Digital Remaster,Wayne Shorter,contemporary post-bop,1965,2023‑09‑01,129,68,47,-8,8,48,399,71,4,43,0
Leap Frog - Take 11 / Take 6 / Master Take,Dizzy Gillespie,bebop,1952,2023‑09‑01,78,73,56,-9,35,73,157,44,10,43,0
Bloomdido - Master Take,Charlie Parker,bebop,1986,2023‑09‑01,111,60,54,-10,7,80,206,37,5,42,0
Daahoud,Clifford Brown,bebop,1954,2023‑09‑01,121,64,50,-12,4,71,245,53,3,41,0
Without a Song - Remastered,Sonny Rollins,bebop,1962,2023‑09‑01,112,28,61,-16,14,34,447,75,5,41,1
Funkallero,Stan Getz,bebop,1973,2023‑09‑01,128,56,51,-12,13,64,401,33,4,41,0
With A Song In My Heart - Remastered 1998,Sonny Clark,bebop,1998,2023‑09‑01,77,49,52,-9,28,81,475,66,4,40,0
Matrix,Chick Corea,bebop,2002,2023‑09‑01,89,63,43,-11,11,64,388,57,6,39,0
Seven Steps to Heaven,Miles Davis,cool jazz,1963,2023‑09‑01,143,44,49,-14,12,66,384,23,5,39,0
Lazy Bird - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,bebop,1958,2023‑09‑01,125,54,53,-9,5,65,427,76,5,38,0
Strode Rode - Rudy Van Gelder Remaster,Sonny Rollins,bebop,1957,2023‑09‑01,130,54,45,-8,17,84,315,65,3,38,0
Au Privave,Sonny Stitt,bebop,2008,2023‑09‑01,136,51,48,-12,14,72,240,42,4,38,0
I Could Write A Book,Miles Davis Quintet,bebop,1958,2023‑09‑01,114,60,62,-6,22,78,308,76,4,38,0
Nica's Dream - Remastered 2005,Horace Silver,bebop,1990,2023‑09‑01,128,56,50,-9,8,74,408,68,4,36,0
Minors Holiday - Rudy Van Gelder Edition/2007 Digital Remaster,Kenny Dorham,bebop,2007,2023‑09‑01,124,81,54,-6,9,88,268,87,5,36,0
Locomotion - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,bebop,1958,2023‑09‑01,134,70,51,-7,32,85,434,77,5,36,0
Mr. P.C. - 2020 Remaster,John Coltrane,bebop,2020,2023‑09‑01,131,49,46,-13,42,52,417,13,8,36,0
Scrapple From The Apple - Rudy Van Gelder Edition / 2003 Remaster,Dexter Gordon,bebop,1963,2023‑09‑01,120,60,48,-9,6,75,442,51,6,36,0
Ande - Remastered 2007 / Rudy Van Gelder Edition,Louis Smith,hard bop,2008,2023‑09‑01,150,73,45,-8,13,77,403,83,6,35,0
Ornithology,Charlie Parker,bebop,1991,2023‑09‑01,111,41,68,-13,9,83,182,89,7,35,0
Minority,Bill Evans,bebop,1959,2023‑09‑01,118,42,58,-16,12,45,324,65,5,35,0
Now's the Time - Remastered Version,Sonny Stitt,bebop,1964,2023‑09‑01,117,35,68,-13,7,48,196,37,5,35,0
Salt Peanuts,Dizzy Gillespie Quintet,bebop,1999,2023‑09‑01,145,61,52,-14,80,88,428,58,7,35,0
Airegin,Wes Montgomery,hard bop,2000,2023‑09‑01,145,41,43,-12,21,69,267,95,4,35,0
Limehouse Blues,The Cannonball Adderley Quintet,bebop,1959,2023‑09‑01,161,51,42,-12,9,70,280,73,5,35,0
The Blues Walk,Clifford Brown,bebop,1954,2023‑09‑01,130,71,53,-10,23,84,414,66,5,35,0
One Finger Snap - Remastered,Herbie Hancock,contemporary post-bop,1964,2023‑09‑01,137,80,47,-8,32,73,441,62,7,35,0
Alamode,Art Blakey & The Jazz Messengers,bebop,1996,2023‑09‑01,132,43,46,-14,28,80,411,71,4,35,0
52nd Street Theme - Remastered 1998/Rudy Van Gelder Edition,Bud Powell,bebop,1952,2023‑09‑01,71,59,54,-8,20,85,170,85,10,35,0
Impressions - Live At The Half Note /1965,Wes Montgomery,hard bop,1965,2023‑09‑01,155,63,50,-13,89,79,303,83,5,35,0
Donna Lee,Lee Konitz,bebop,2005,2023‑09‑01,123,42,64,-9,20,68,377,73,6,34,0
Nutville,Horace Silver Quintet,bebop,1989,2023‑09‑01,146,62,46,-15,5,85,436,37,4,34,0
Arietis - Remastered 2003/Rudy Van Gelder Edition,Freddie Hubbard,bebop,1961,2023‑09‑01,122,48,46,-11,16,62,402,54,4,34,0
Wee (Allen's Alley),Stan Getz,bebop,1998,2023‑09‑01,174,37,41,-16,17,65,507,40,9,34,0
Super Jet,Tadd Dameron,bebop,1957,2023‑09‑01,128,64,50,-9,12,76,354,79,5,34,0
Hora Decubitus,Charles Mingus,avant-garde jazz,1963,2023‑09‑01,117,73,39,-8,10,75,283,34,7,33,0
The Natives Are Restless Tonight - Rudy Van Gelder Edition/1999 Digital Remaster,Horace Silver,bebop,1999,2023‑09‑01,142,80,52,-8,13,68,371,65,11,33,0
Easy To Love,Cannonball Adderley Sextet,bebop,1990,2023‑09‑01,84,58,50,-14,94,77,227,43,8,33,0
Toy,Cannonball Adderley,bebop,1961,2023‑09‑01,122,42,61,-11,8,70,307,67,4,32,0
A Night In Tunisia,McCoy Tyner,contemporary post-bop,1964,2023‑09‑01,143,50,50,-15,10,89,308,14,7,32,0
Open Sesame - Remastered 2002/Rudy Van Gelder Edition,Freddie Hubbard,bebop,2002,2023‑09‑01,130,67,49,-7,12,75,432,65,4,32,0
Steps-What Was - Digitally Remastered,Chick Corea,bebop,2002,2023‑09‑01,154,63,35,-11,11,47,830,77,5,32,0
The Bridge - Remastered,Sonny Rollins,bebop,1962,2023‑09‑01,83,51,49,-11,15,59,360,35,6,32,0
Grand Central,The Cannonball Adderley Quintet,bebop,1959,2023‑09‑01,132,42,49,-13,20,66,273,71,4,32,0
Humph - Rudy Van Gelder 24-Bit Mastering / 1998 Digital Remaster,Thelonious Monk,bebop,1951,2023‑09‑01,131,66,61,-9,9,60,175,81,8,32,0
Blues And The Abstract Truth,Oliver Nelson,bebop,1997,2023‑09‑01,116,61,49,-13,9,76,312,75,5,31,0
Vendetta,Cory Weeds,canadian modern jazz,2022,2023‑09‑01,124,65,51,-8,13,69,341,61,4,31,0
The Eternal Triangle,Dizzy Gillespie,bebop,2000,2023‑09‑01,147,67,42,-10,32,74,853,58,6,30,0
Four By Five,McCoy Tyner,contemporary post-bop,1967,2023‑09‑01,136,72,39,-9,9,70,397,45,4,30,0
Just One Of Those Things,Lee Morgan,bebop,1958,2023‑09‑01,159,46,40,-13,9,70,437,60,8,29,0
The Way You Look Tonight - Remastered 2009,Johnny Griffin,hard bop,1957,2023‑09‑01,167,86,39,-5,20,76,581,63,22,29,0
Be-Bop - Remastered 2001/Rudy Van Gelder Edition,Sonny Clark Trio,bebop,1958,2023‑09‑01,153,53,49,-11,27,82,594,63,4,29,0
Our Man Higgins,Lee Morgan,bebop,1965,2023‑09‑01,117,64,59,-12,13,68,534,76,6,29,0
A Shade Of Jade - Rudy Van Gelder Edition/2003 Digital Remaster/24 Bit Mastering,Joe Henderson,bebop,2003,2023‑09‑01,136,65,45,-10,9,60,428,61,4,28,0
Roll Call - Rudy Van Gelder Edition,Hank Mobley,bebop,1960,2023‑09‑01,127,68,49,-11,9,82,634,72,8,28,0
Cranky Spanky,Art Blakey & The Jazz Messengers,bebop,1957,2023‑09‑01,156,57,45,-12,10,86,289,46,6,28,0
Moose The Mooche,Art Blakey,bebop,1999,2023‑09‑01,144,72,45,-14,16,46,917,41,5,27,0
In 'N Out - Remastered 2003 / Rudy Van Gelder Edition,Joe Henderson,bebop,2004,2023‑09‑01,148,65,41,-12,22,57,624,62,5,27,0
The Surrey With The Fringe On Top - Remastered 2003/Rudy Van Gelder Edition,McCoy Tyner,contemporary post-bop,1969,2023‑09‑01,142,61,35,-13,16,43,311,96,4,26,0
Philly Mignon - Rudy Van Gelder 24-Bit Remastering/2006,Freddie Hubbard,bebop,2006,2023‑09‑01,88,69,56,-7,26,67,328,28,8,26,0
So Far So Good,Sun Of They,alternative,2022,2023‑09‑08,74,7,58,-23,11,24,152,98,3,65,1
Apricity,Imala Zir,alternative,2022,2023‑09‑08,75,24,47,-23,12,5,158,84,3,64,1
Solatium,Imber Sun,alternative,2022,2023‑09‑08,112,11,44,-19,11,11,127,99,4,63,1
efflorescence,Far & Beyond,alternative,2022,2023‑09‑08,84,21,51,-23,11,7,144,84,3,63,1
Gather My Thoughts,Josef Briem,alternative,2022,2023‑09‑08,129,5,35,-21,11,6,184,95,4,63,1
Infinite Sustain,Amaranth Cove,background music,2019,2023‑09‑08,124,21,53,-19,11,9,149,80,3,63,1
Augury,Lynx XII,528hz,2023,2023‑09‑08,75,6,59,-22,11,40,156,98,5,62,1
Fresh Paint,Shape Of Our Dreams,alternative,2022,2023‑09‑08,118,10,38,-21,12,6,155,96,4,62,1
mind reader,Haltura Arnadottir,alternative,2023,2023‑09‑08,75,6,51,-21,10,14,170,96,4,62,1
emotions,Josef Briem,alternative,2023,2023‑09‑08,67,6,42,-19,13,16,165,96,4,61,1
Orange Sky,Auðura,alternative,2023,2023‑09‑08,80,11,60,-20,11,6,129,97,4,61,1
The End Is The Beginning,Search For Atlantis,background music,2023,2023‑09‑08,74,2,64,-20,12,25,136,92,5,61,1
Prism,Lifou,alternative,2023,2023‑09‑08,72,11,60,-19,11,19,142,99,3,61,1
the echoing truth,Tall Towers,alternative,2023,2023‑09‑08,74,5,30,-21,11,9,127,91,3,60,1
Desert Sunset,Tranquil Oasis,alternative,2023,2023‑09‑08,144,10,50,-21,11,7,150,93,4,60,1
Hovering Above,Auðura,alternative,2023,2023‑09‑08,80,4,52,-25,11,7,125,97,3,60,1
pull me in,Sun Of They,alternative,2023,2023‑09‑08,74,19,46,-22,11,8,186,94,3,60,1
Mastermind,Josef Briem,alternative,2023,2023‑09‑08,74,10,59,-19,11,17,178,90,4,60,1
Bridges,Woven Hearts,calming instrumental,2023,2023‑09‑08,148,11,61,-18,11,16,165,91,5,60,1
In The Distance,Flovia,alternative,2023,2023‑09‑08,138,16,56,-18,11,23,119,98,3,59,1
Vision,William Reed,alternative,2023,2023‑09‑08,36,2,25,-23,10,14,128,98,4,59,1
Dreamshaper,Agnes Lundh,alternative,2023,2023‑09‑08,65,7,50,-21,11,8,164,96,4,59,1
Spaces,William Reed,alternative,2023,2023‑09‑08,75,12,50,-20,11,5,136,87,3,59,1
Mind over matter,Josef Briem,alternative,2023,2023‑09‑08,59,12,52,-19,11,16,154,98,4,59,1
Wish I Knew,Spaced Out Dreams,alternative,2023,2023‑09‑08,74,9,32,-22,11,9,137,86,5,59,1
Good deeds,Joy Parade,alternative,2023,2023‑09‑08,75,2,38,-19,11,14,139,99,4,58,1
Afloat,GLADE,alternative,2023,2023‑09‑08,72,15,35,-16,14,19,160,99,4,58,1
Sightings,Agnes Lundh,alternative,2023,2023‑09‑08,148,5,58,-21,11,21,165,98,3,58,1
Relentless,Silver Falls,alternative,2023,2023‑09‑08,71,7,35,-23,11,12,164,98,3,58,1
Seeing Sound,San Bernadino 5,alternative,2023,2023‑09‑08,84,10,53,-21,11,9,124,84,3,58,1
Infra,Tiger Throws,alternative,2023,2023‑09‑08,78,3,45,-24,12,5,141,91,4,58,1
Tide,Nomad Spector,alternative,2023,2023‑09‑08,140,21,60,-19,11,13,151,90,4,58,1
Whispering,Space Access,alternative,2023,2023‑09‑08,140,14,62,-26,11,13,133,86,4,58,1
Tell A Story,BBG's,alternative,2023,2023‑09‑08,79,18,35,-23,18,8,160,93,4,57,1
Peaches,Tranquil Oasis,alternative,2023,2023‑09‑08,73,17,49,-23,11,16,145,90,3,57,1
Steady figures,Imber Sun,alternative,2023,2023‑09‑08,74,19,54,-17,11,12,161,86,4,57,1
circumstances,Garden Collective,alternative,2023,2023‑09‑08,134,10,59,-17,11,19,193,98,4,57,1
Echoed Memory,Equanimity Seekers,alternative,2023,2023‑09‑08,116,13,62,-17,11,20,128,96,4,57,1
Unperturbed,Gate.74,alternative,2023,2023‑09‑08,120,13,65,-20,9,9,158,84,6,57,1
bounce back,Far & Beyond,alternative,2023,2023‑09‑08,68,11,54,-20,8,14,179,96,4,57,1
Keep It Together,Naómi Sun,alternative,2023,2023‑09‑08,75,6,61,-23,11,14,136,95,3,57,1
Chasing the Horizon,Dance Of Centuries,alternative,2023,2023‑09‑08,74,14,58,-19,8,12,159,97,4,56,1
Pyramids,Humasnó,alternative,2023,2023‑09‑08,136,9,59,-16,10,15,122,97,5,56,1
Crystals,Sun Of They,alternative,2023,2023‑09‑08,109,19,39,-16,12,18,182,98,3,56,1
Daydreams Again,Sisters Of Marks,calming instrumental,2023,2023‑09‑08,93,15,65,-21,21,12,166,95,4,56,1
The inner circle,Dreams Ahead,alternative,2023,2023‑09‑08,75,13,55,-16,11,8,184,93,3,56,1
Distance,Ben Tofft,calming instrumental,2023,2023‑09‑08,127,7,67,-19,11,30,132,96,5,56,1
Sounds from Home,Haltura Arnadottir,alternative,2023,2023‑09‑08,74,6,48,-17,11,15,193,94,4,56,1
The Narrator,Dance Of Centuries,alternative,2023,2023‑09‑08,74,9,53,-16,12,12,150,98,4,55,1
What You Were Looking For,Broken Legacy,alternative,2023,2023‑09‑08,124,9,76,-20,11,17,200,94,5,55,1
Upside,Wimmel,alternative,2023,2023‑09‑08,75,3,41,-26,9,7,167,92,3,55,1
blue dream mountain,bonecatcher,chill out,2023,2023‑09‑08,75,5,59,-22,13,7,150,98,3,55,1
river song,Spaced Out Dreams,alternative,2023,2023‑09‑08,101,13,60,-20,11,18,163,97,3,55,1
Breaking the Barrier,Dreams Ahead,alternative,2023,2023‑09‑08,67,7,56,-18,11,25,151,98,4,55,1
Blue Hour,Pireas,alternative,2023,2023‑09‑08,84,17,62,-17,11,21,141,99,4,55,1
Canvas,Philó,alternative,2023,2023‑09‑08,85,4,47,-23,10,8,156,92,4,54,1
Icicles,Joy Parade,alternative,2023,2023‑09‑08,68,10,41,-18,11,18,147,97,4,54,1
Simple Thing,Sisters Of Marks,calming instrumental,2023,2023‑09‑08,150,19,49,-21,11,14,181,76,3,54,1
Summer Vibes,Serenity Within,alternative,2023,2023‑09‑08,130,13,55,-18,14,15,157,64,3,54,1
Open to it,Far & Beyond,alternative,2023,2023‑09‑08,67,11,32,-17,11,15,144,96,4,54,1
Sharing is Caring,Imber Sun,alternative,2023,2023‑09‑08,96,10,32,-20,11,15,132,89,3,54,1
Cherubim,Miller & Bronx,alternative,2023,2023‑09‑08,150,4,58,-21,11,30,162,97,5,54,1
Chatoyant,Sometimes We Fall,alternative,2023,2023‑09‑08,144,7,47,-22,11,20,164,97,4,54,1
Victory Laps,Josef Briem,alternative,2023,2023‑09‑08,75,4,49,-23,11,27,135,94,4,54,1
Sunday on my mind,Joy Parade,alternative,2023,2023‑09‑08,83,9,55,-17,11,14,125,99,3,54,1
Observations From A Faraway Place,Rannar Sillard,alternative,2019,2023‑09‑08,76,12,18,-22,12,14,142,83,4,54,1
Places,June Wysh,alternative,2023,2023‑09‑08,150,11,46,-18,11,7,135,93,3,53,1
Nowhere,Nomad Spector,alternative,2023,2023‑09‑08,70,10,48,-21,11,4,206,93,3,53,1
Under the Horizon,Hers Lake,alternative,2023,2023‑09‑08,78,2,39,-22,11,34,150,98,4,53,1
Memories of Tomorrow,Imber Sun,alternative,2023,2023‑09‑08,91,7,53,-20,15,13,148,93,3,53,1
Effortless,Space Access,alternative,2023,2023‑09‑08,72,22,60,-18,11,7,168,87,4,53,1
retrospect,Isaak Young,alternative,2023,2023‑09‑08,35,10,30,-20,11,17,175,92,4,53,1
Once I Dreamed,Tim Gourolis,alternative,2022,2023‑09‑08,109,13,30,-20,10,14,192,91,4,53,1
One Step,Sounds of Ellinia,alternative,2023,2023‑09‑08,140,22,50,-17,11,17,145,86,4,53,1
Epoque,ARCADIA,alternative,2023,2023‑09‑08,107,18,56,-15,18,5,126,30,3,53,1
Winter Sun,Sun Of They,alternative,2022,2023‑09‑08,144,22,39,-23,11,28,142,91,3,53,1
Progress,Ever So Blue,background piano,2019,2023‑09‑08,100,2,27,-27,10,4,139,100,5,53,1
Feel the Breeze,Far & Beyond,alternative,2023,2023‑09‑08,93,5,52,-24,11,6,168,98,4,52,1
Tempestade,Philó,alternative,2023,2023‑09‑08,75,4,48,-23,11,8,168,94,3,52,1
Junifer,The Aiko,alternative,2023,2023‑09‑08,65,13,50,-16,11,5,137,98,3,52,1
sox,Stones Sailing,alternative,2023,2023‑09‑08,64,7,45,-21,11,9,175,26,5,52,1
Fill Up The Sky,Eroded Sky,background music,2023,2023‑09‑08,120,12,67,-17,9,43,205,28,5,52,1
Dig Deeper,Dreams Ahead,alternative,2023,2023‑09‑08,74,5,55,-22,9,14,140,86,5,52,1
phosphorescence,Garden Collective,alternative,2023,2023‑09‑08,76,12,45,-22,11,10,146,96,3,52,1
Wheel of Zodiac,Spaced Out Dreams,alternative,2023,2023‑09‑08,82,6,30,-20,11,15,135,97,4,52,1
daffodils,Tall Towers,alternative,2023,2023‑09‑08,77,7,38,-19,11,13,146,99,4,52,1
Midnight Land,Akustique,alternative,2023,2023‑09‑08,100,12,67,-20,11,15,142,93,4,52,1
Fox Mountain,Alderville,alternative,2023,2023‑09‑08,140,10,39,-22,14,11,145,92,3,52,1
Feathers In The Sky,Agnes Lundh,alternative,2023,2023‑09‑08,92,11,55,-20,12,8,144,98,3,52,1
World Above,Echo Ark,chill guitar,2023,2023‑09‑08,71,31,63,-18,11,28,156,98,4,52,1
Am I Dreaming,Josef Briem,alternative,2023,2023‑09‑08,85,5,63,-20,12,19,162,98,4,52,1
lone cowboy,Astronaut In The Desert,alternative,2023,2023‑09‑08,71,1,26,-28,10,23,155,99,4,52,1
Dreamscapes,Agnes Lundh,alternative,2022,2023‑09‑08,74,20,27,-20,11,23,160,91,3,52,1
Second Chances,Spaced Out Dreams,alternative,2022,2023‑09‑08,71,13,35,-18,8,8,161,91,4,51,1
save the date,Shape Of Our Dreams,alternative,2023,2023‑09‑08,97,4,70,-21,11,33,164,97,4,51,1
center of mass,Far & Beyond,alternative,2022,2023‑09‑08,90,8,60,-21,12,12,144,92,4,51,1
The Object at Hand,Joy Parade,alternative,2022,2023‑09‑08,97,12,61,-19,11,8,139,95,3,51,1
In Due Time,Tall Towers,alternative,2022,2023‑09‑08,76,6,42,-22,12,16,136,93,4,51,1
"ready, steady, go",Hers Lake,alternative,2023,2023‑09‑08,73,6,61,-22,11,6,148,95,4,51,1
Beginnings,Melvin Barker,alternative,2022,2023‑09‑08,82,7,24,-22,11,15,223,86,3,51,1
Tidal Waves,Isaak Young,alternative,2022,2023‑09‑08,97,12,60,-18,11,13,191,95,4,51,1
Frozen Lakes,Imber Sun,alternative,2022,2023‑09‑08,79,10,43,-18,11,6,167,96,4,51,1
Staring into Infinity,Far & Beyond,alternative,2022,2023‑09‑08,77,11,52,-20,11,12,155,96,4,51,1
Break Through,Sounds of Ellinia,alternative,2023,2023‑09‑08,130,5,53,-23,10,4,155,99,4,51,1
Neon White,Dance Of Centuries,alternative,2022,2023‑09‑08,60,5,31,-21,11,28,139,99,5,51,1
Number Games,Haltura Arnadottir,alternative,2023,2023‑09‑08,117,4,58,-23,11,17,168,97,4,51,1
remembrance,Dreams Ahead,alternative,2022,2023‑09‑08,121,6,46,-21,11,13,195,96,4,51,1
both sides of the coin,Electric Rivers,alternative,2021,2023‑09‑08,103,16,29,-17,11,7,171,74,3,51,1
taming the tiger,Golden Horses,alternative,2021,2023‑09‑08,115,10,25,-24,8,4,137,97,4,51,1
Look At The Stars,The Purple Stripe,background music,2021,2023‑09‑08,114,8,70,-13,11,11,216,95,6,51,1
Nuraghe,PLACID,alternative,2022,2023‑09‑08,107,20,49,-15,12,18,150,97,3,51,1
Atlavík,Hugar,compositional ambient,2019,2023‑09‑08,127,15,54,-25,8,24,156,87,4,51,1
Curiosity,Beau Projet,background music,2019,2023‑09‑08,134,26,43,-22,11,17,156,99,6,51,1
Are You Up,Agnes Lundh,alternative,2022,2023‑09‑08,70,13,60,-17,13,14,153,99,4,50,1
waveforms,Joy Parade,alternative,2022,2023‑09‑08,74,18,39,-19,12,11,163,87,3,50,1
miniature things,Tall Towers,alternative,2022,2023‑09‑08,74,14,49,-18,12,16,144,98,4,50,1
Abroad and Overseas,Imala Zir,alternative,2022,2023‑09‑08,76,5,35,-21,11,24,168,99,4,50,1
oh! the view,Mayra R,alternative,2021,2023‑09‑08,62,8,44,-18,10,7,162,99,3,50,1
Searching In The Night,Dreams Ahead,alternative,2022,2023‑09‑08,80,13,47,-20,11,14,197,99,3,50,1
High Up,Mirror Inside,alternative,2021,2023‑09‑08,144,3,28,-18,11,7,139,100,4,50,1
line up,Golden Horses,alternative,2022,2023‑09‑08,72,9,17,-20,10,7,145,99,4,50,1
Slip Away,Elementaries,chill beats,2021,2023‑09‑08,178,10,31,-13,11,7,209,97,7,50,1
Echoes In The Night,Hers Lake,alternative,2022,2023‑09‑08,118,9,59,-20,11,10,178,98,3,50,1
The Top Brink,Haltura Arnadottir,alternative,2022,2023‑09‑08,68,14,48,-20,11,8,196,97,3,50,1
Zero Gravity,Rippling,background piano,2022,2023‑09‑08,219,6,19,-24,10,5,160,95,5,50,1
the light of day,Imala Zir,alternative,2022,2023‑09‑08,82,11,38,-19,11,13,203,96,4,50,1
Follow My Voice,Niveous,alternative,2022,2023‑09‑08,68,6,46,-22,11,27,180,98,4,50,1
The Quest,Spaced Out Dreams,alternative,2022,2023‑09‑08,77,22,35,-18,11,20,127,94,5,50,1
