,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
85,Return of the swans,Genevieve Melton,background piano,2022,2023‑09‑05,136,21,37,-20,11,28,104,99,5,43
86,Sundara,Moldoveanu,background piano,2023,2023‑09‑05,112,2,40,-24,11,12,163,99,4,43
87,Vivendi,Alfred Mizzi,,2022,2023‑09‑05,136,11,25,-28,10,33,133,95,3,43
88,Yamasá,Teide,background piano,2022,2023‑09‑05,104,7,43,-26,11,17,172,97,4,43
89,Dordogne Peace,Magnus Ludvigsson,,2021,2023‑09‑05,103,18,36,-20,13,20,175,99,3,43
90,Yellow Man,Ramin Kuliev,,2022,2023‑09‑05,115,1,65,-30,9,30,187,99,5,43
91,The River,Genevieve Melton,background piano,2021,2023‑09‑05,127,7,38,-26,10,19,118,99,4,43
92,Storytelling,Albin Svensson,,2021,2023‑09‑05,103,4,40,-24,12,4,141,100,4,43
93,"Looking Forward, Looking Backward",Robin Bennich,background music,2019,2023‑09‑05,68,9,22,-24,13,17,178,99,4,43
94,Never Unsaid,Aleisha Millar,background piano,2020,2023‑09‑05,185,12,26,-26,8,41,138,100,6,43
95,Equus,S.A. Karl,background music,2020,2023‑09‑05,164,4,39,-22,11,26,134,99,5,43
96,schemering,Jaidy Thissen,background piano,2019,2023‑09‑05,103,10,30,-25,11,28,124,98,4,43
97,Nuove stelle,Carlo Boscoli,background piano,2023,2023‑09‑05,72,3,40,-26,10,29,101,99,4,42
98,Sous le Pluie,Agatha Messina,background piano,2023,2023‑09‑05,172,5,33,-27,9,45,102,100,4,42
99,Free,Kristoffer Wallin,neo-classical,2022,2023‑09‑05,138,5,36,-26,10,42,138,99,4,42
100,I Dare Not Dream,Mírabilis,background piano,2023,2023‑09‑05,59,2,44,-28,10,43,134,100,4,42
101,On a summer midnight,Qunfan Wen,background piano,2023,2023‑09‑05,88,4,35,-26,11,14,123,99,4,42
102,Up and Away,Gina Ordonieva,background piano,2022,2023‑09‑05,128,7,56,-26,11,16,135,99,3,42
103,Shu's Sonata,Mayumi Sasaki,background piano,2022,2023‑09‑05,74,2,20,-25,11,12,151,99,4,42
104,In Good And Bad Times,Leon den Engelsen,,2021,2023‑09‑05,88,3,32,-28,9,18,179,99,4,42
105,Empty Pews,John Thomas Remington,background piano,2021,2023‑09‑05,185,5,42,-22,10,35,157,99,5,42
106,Bubbles,Michel Jean,,2021,2023‑09‑05,98,4,30,-28,11,26,135,99,3,42
107,the time has come,Alfons Daiminger,,2020,2023‑09‑05,135,1,38,-25,11,9,147,99,6,42
108,"Night Bird, Night Song",Camilla Turgot,,2023,2023‑09‑05,181,3,26,-29,14,4,131,100,4,41
109,dans mes rêves,Kjøpmann,,2023,2023‑09‑05,58,4,35,-27,9,22,145,100,5,41
110,Gratitude,Eadgar Évariste,,2023,2023‑09‑05,73,4,54,-31,11,28,114,99,5,41
111,Infinity clouds,Liu Ju,,2022,2023‑09‑05,74,4,41,-29,10,23,151,99,4,41
112,Kiriume,Arden Forest,focus,2020,2023‑09‑05,111,11,37,-22,10,50,144,99,4,41
113,Vejez,Miguel Pérez,,2022,2023‑09‑05,113,17,32,-22,11,25,139,94,5,41
114,The Chapel,Edgar De Vries,background piano,2021,2023‑09‑05,71,3,60,-27,10,20,210,99,6,41
115,Gratitude,HILLEVI,,2021,2023‑09‑05,137,40,35,-27,11,43,133,97,3,41
116,Starlight Canyon,Lok Hanzo,,2022,2023‑09‑05,67,3,55,-31,10,35,98,100,6,41
117,Trei,Hiroko Murakami,japanese piano,2021,2023‑09‑05,113,2,36,-27,10,23,151,99,4,41
118,Le Lac des Buttes,Nicolas Dupain-Aignon,,2023,2023‑09‑05,173,5,19,-28,11,30,134,100,4,40
119,Introspective,Phlox Sage,,2023,2023‑09‑05,106,2,49,-27,9,41,131,100,5,40
120,Cascading Light,Winston Church,instrumental acoustic guitar,2023,2023‑09‑05,146,16,51,-23,10,37,164,98,3,40
121,Hands and Feet,Samuel Félix,background piano,2022,2023‑09‑05,178,11,47,-24,10,61,115,100,6,40
122,Simpler Times,Christopher J. Richardson,,2021,2023‑09‑05,123,4,44,-28,8,28,141,100,6,40
123,Stirling,Tuga Topić,,2020,2023‑09‑05,185,8,29,-26,9,28,120,100,6,40
124,Pour tous les cœurs du monde,Olivier Mournier,,2020,2023‑09‑05,69,4,26,-24,11,28,129,100,4,40
125,Entre les Lignes,Lou Maxence,,2022,2023‑09‑05,64,2,46,-28,9,20,123,99,3,39
126,A Thought Evoked,Chloé Czans,background piano,2021,2023‑09‑05,69,3,29,-26,12,27,174,99,5,39
127,Calas de Roche,Paco Ruiz,background piano,2021,2023‑09‑05,74,4,31,-23,11,7,146,99,3,39
128,Peace In Water,Carl Faber,,2022,2023‑09‑05,113,12,48,-24,10,21,133,99,5,39
129,Roseraie,April Baxter,background piano,2021,2023‑09‑05,104,5,59,-24,9,17,167,100,4,39
130,Le Bonheur,Mauvais Roger,background piano,2021,2023‑09‑05,135,6,23,-30,11,13,180,99,4,39
131,Apricity,Ivalu Karlsen,background piano,2019,2023‑09‑05,67,5,46,-26,12,34,133,100,5,39
132,Ballerina,Anne Straub,background piano,2020,2023‑09‑05,167,5,25,-23,11,11,158,97,4,39
133,Your Love,William Cas,background piano,2020,2023‑09‑05,157,5,43,-24,11,35,160,99,3,39
134,Felicity,Hugo Reilly,,2020,2023‑09‑05,202,4,22,-30,10,45,122,100,8,39
135,Je rougis,Zdenek Lemelin,background piano,2022,2023‑09‑05,99,7,49,-24,11,51,127,99,5,38
136,New Dimensions,Etne Skiöld,background piano,2022,2023‑09‑05,177,2,35,-27,10,24,81,100,4,38
137,Singing Bird,Wyatt Elil,,2023,2023‑09‑05,97,5,49,-24,11,19,151,99,5,38
138,Parallel,Kendra Logozar,instrumental worship,2022,2023‑09‑05,68,4,37,-24,10,7,137,99,4,38
139,Fleeting Glance,R Eugene,background piano,2021,2023‑09‑05,96,15,31,-23,11,30,159,99,4,38
140,Plane Of Incidence,Signe Bratlie,,2021,2023‑09‑05,111,30,30,-23,12,49,141,98,3,38
141,Theme from Lazarus,Federico Montoya,background piano,2020,2023‑09‑05,80,7,42,-23,10,37,101,99,3,38
142,Soothing Voices,Portia Price,background piano,2023,2023‑09‑05,128,5,49,-26,11,15,138,100,4,37
