song title,artist,energy,song and artist
river song,Spaced Out Dreams,13,"river song by, Spaced Out Dreams"
Breaking the Barrier,Dreams Ahead,7,"Breaking the Barrier by, Dreams Ahead"
Blue Hour,Pireas,17,"Blue Hour by, Pireas"
Canvas,Philó,4,"Canvas by, Philó"
Icicles,Joy Parade,10,"Icicles by, Joy Parade"
Simple Thing,Sisters Of Marks,19,"Simple Thing by, Sisters Of Marks"
Summer Vibes,Serenity Within,13,"Summer Vibes by, Serenity Within"
Open to it,Far & Beyond,11,"Open to it by, Far & Beyond"
Sharing is Caring,Imber Sun,10,"Sharing is Caring by, Imber Sun"
Cherubim,Miller & Bronx,4,"Cherubim by, Miller & Bronx"
Chatoyant,Sometimes We Fall,7,"Chatoyant by, Sometimes We Fall"
Victory Laps,Josef Briem,4,"Victory Laps by, Josef Briem"
Sunday on my mind,Joy Parade,9,"Sunday on my mind by, Joy Parade"
Observations From A Faraway Place,Rannar Sillard,12,"Observations From A Faraway Place by, Rannar Sillard"
Places,June Wysh,11,"Places by, June Wysh"
Nowhere,Nomad Spector,10,"Nowhere by, Nomad Spector"
Under the Horizon,Hers Lake,2,"Under the Horizon by, Hers Lake"
Memories of Tomorrow,Imber Sun,7,"Memories of Tomorrow by, Imber Sun"
Effortless,Space Access,22,"Effortless by, Space Access"
retrospect,Isaak Young,10,"retrospect by, Isaak Young"
Once I Dreamed,Tim Gourolis,13,"Once I Dreamed by, Tim Gourolis"
One Step,Sounds of Ellinia,22,"One Step by, Sounds of Ellinia"
Epoque,ARCADIA,18,"Epoque by, ARCADIA"
Winter Sun,Sun Of They,22,"Winter Sun by, Sun Of They"
Progress,Ever So Blue,2,"Progress by, Ever So Blue"
Feel the Breeze,Far & Beyond,5,"Feel the Breeze by, Far & Beyond"
Tempestade,Philó,4,"Tempestade by, Philó"
Junifer,The Aiko,13,"Junifer by, The Aiko"
sox,Stones Sailing,7,"sox by, Stones Sailing"
Fill Up The Sky,Eroded Sky,12,"Fill Up The Sky by, Eroded Sky"
Dig Deeper,Dreams Ahead,5,"Dig Deeper by, Dreams Ahead"
phosphorescence,Garden Collective,12,"phosphorescence by, Garden Collective"
Wheel of Zodiac,Spaced Out Dreams,6,"Wheel of Zodiac by, Spaced Out Dreams"
daffodils,Tall Towers,7,"daffodils by, Tall Towers"
Midnight Land,Akustique,12,"Midnight Land by, Akustique"
Fox Mountain,Alderville,10,"Fox Mountain by, Alderville"
Feathers In The Sky,Agnes Lundh,11,"Feathers In The Sky by, Agnes Lundh"
World Above,Echo Ark,31,"World Above by, Echo Ark"
Am I Dreaming,Josef Briem,5,"Am I Dreaming by, Josef Briem"
lone cowboy,Astronaut In The Desert,1,"lone cowboy by, Astronaut In The Desert"
Dreamscapes,Agnes Lundh,20,"Dreamscapes by, Agnes Lundh"
Second Chances,Spaced Out Dreams,13,"Second Chances by, Spaced Out Dreams"
save the date,Shape Of Our Dreams,4,"save the date by, Shape Of Our Dreams"
center of mass,Far & Beyond,8,"center of mass by, Far & Beyond"
The Object at Hand,Joy Parade,12,"The Object at Hand by, Joy Parade"
In Due Time,Tall Towers,6,"In Due Time by, Tall Towers"
"ready, steady, go",Hers Lake,6,"ready, steady, go by, Hers Lake"
Beginnings,Melvin Barker,7,"Beginnings by, Melvin Barker"
Tidal Waves,Isaak Young,12,"Tidal Waves by, Isaak Young"
Frozen Lakes,Imber Sun,10,"Frozen Lakes by, Imber Sun"
Staring into Infinity,Far & Beyond,11,"Staring into Infinity by, Far & Beyond"
Break Through,Sounds of Ellinia,5,"Break Through by, Sounds of Ellinia"
Neon White,Dance Of Centuries,5,"Neon White by, Dance Of Centuries"
Number Games,Haltura Arnadottir,4,"Number Games by, Haltura Arnadottir"
remembrance,Dreams Ahead,6,"remembrance by, Dreams Ahead"
both sides of the coin,Electric Rivers,16,"both sides of the coin by, Electric Rivers"
taming the tiger,Golden Horses,10,"taming the tiger by, Golden Horses"
Look At The Stars,The Purple Stripe,8,"Look At The Stars by, The Purple Stripe"
Nuraghe,PLACID,20,"Nuraghe by, PLACID"
Atlavík,Hugar,15,"Atlavík by, Hugar"
Curiosity,Beau Projet,26,"Curiosity by, Beau Projet"
Are You Up,Agnes Lundh,13,"Are You Up by, Agnes Lundh"
waveforms,Joy Parade,18,"waveforms by, Joy Parade"
miniature things,Tall Towers,14,"miniature things by, Tall Towers"
Abroad and Overseas,Imala Zir,5,"Abroad and Overseas by, Imala Zir"
oh! the view,Mayra R,8,"oh! the view by, Mayra R"
Searching In The Night,Dreams Ahead,13,"Searching In The Night by, Dreams Ahead"
High Up,Mirror Inside,3,"High Up by, Mirror Inside"
line up,Golden Horses,9,"line up by, Golden Horses"
Slip Away,Elementaries,10,"Slip Away by, Elementaries"
